Data,Produto,Vendedor,Quantidade,Valor
2026-09-03,Headset,Eduardo,6,4713
2024-09-16,Headset,Eduardo,2,1391
2026-09-06,Mouse,Camila,5,1023
2026-01-12,Teclado,Marcelo,5,994
2025-11-24,Headset,Rodrigo,6,418
2025-12-10,Notebook,Aline,7,1539
2025-11-02,Headset,Felipe,2,4906
2024-12-31,Headset,Vinícius,8,1973
2024-09-26,Monitor,Thiago,2,3891
2025-06-06,Headset,Rafael,8,1335
2025-01-08,Headset,Diego,2,635
2025-05-02,Notebook,Lucas,6,81
2024-05-23,Teclado,Amanda,8,876
2025-11-08,Teclado,Bruno,6,3172
2024-01-01,Notebook,Priscila,7,4898
2025-10-07,Monitor,Pedro,3,745
2024-05-17,Mouse,Eduardo,3,3747
2024-02-11,Mouse,Vanessa,6,2121
2024-12-27,Mouse,Eduardo,2,4551
2025-11-24,Headset,Amanda,8,1045
2025-12-22,Teclado,Rodrigo,3,1101
2025-04-07,Headset,Priscila,4,1494
2024-02-09,Teclado,Larissa,10,3316
2024-05-12,Notebook,João,1,1602
2024-07-20,Notebook,Beatriz,2,4890
2025-01-31,Monitor,Renata,10,761
2025-02-22,Notebook,Felipe,6,517
2026-01-01,Monitor,Tatiane,8,548
2026-10-22,Mouse,Gabriel,7,1094
2025-08-30,Mouse,Amanda,1,3024
2025-08-09,Mouse,André,2,3084
2024-06-15,Headset,Maria,10,3936
2025-06-26,Monitor,Diego,10,4756
2026-10-18,Notebook,Rodrigo,1,1932
2025-03-06,Mouse,Marcelo,5,148
2026-11-12,Teclado,Tatiane,7,2726
2025-09-16,Notebook,André,2,3611
2024-04-02,Headset,Maria,4,1568
2026-09-03,Notebook,Lucas,8,785
2025-08-16,Teclado,Eduardo,8,3084
2026-12-26,Mouse,Gabriel,5,127
2026-12-19,Mouse,Priscila,3,725
2024-04-04,Headset,Diego,2,800
2024-03-04,Notebook,Larissa,2,664
2026-12-08,Notebook,Rafael,3,713
2024-08-03,Notebook,Eduardo,5,2923
2025-01-31,Mouse,Camila,2,3281
2025-05-06,Monitor,Vinícius,10,4171
2025-08-02,Headset,Aline,3,535
2025-02-25,Headset,Maria,5,1733
2025-01-13,Mouse,Diego,5,3531
2025-03-23,Headset,André,8,2408
2026-12-12,Teclado,Fernanda,5,1111
2025-12-12,Headset,Felipe,7,4160
2025-05-05,Mouse,Ana,1,4989
2025-02-06,Mouse,Beatriz,3,4509
2025-01-05,Monitor,Marcelo,2,2532
2025-01-09,Headset,Marcelo,1,1956
2024-01-23,Monitor,Bruno,2,1200
2026-03-09,Mouse,Tatiane,8,543
2026-12-23,Headset,João,3,2617
2025-07-08,Teclado,Vanessa,6,2158
2026-09-03,Teclado,Larissa,9,3483
2025-07-25,Notebook,Lucas,9,3364
2025-03-26,Mouse,Gabriel,10,3654
2024-12-14,Mouse,Ana,5,3372
2025-11-22,Mouse,André,3,2830
2024-08-22,Monitor,Vanessa,4,4882
2026-01-11,Notebook,Thiago,1,1658
2025-05-26,Headset,Bruno,5,4011
2026-10-16,Monitor,Beatriz,1,4799
2024-06-21,Mouse,Larissa,6,2296
2025-10-31,Monitor,Bruno,9,3781
2026-11-25,Teclado,Marcelo,8,2518
2024-12-08,Notebook,Beatriz,9,820
2024-07-16,Mouse,Maria,2,4335
2025-08-13,Monitor,André,4,4884
2026-03-19,Monitor,Priscila,6,2273
2025-05-09,Teclado,Pedro,2,3407
2026-04-20,Mouse,André,5,2266
2025-11-25,Mouse,Thiago,4,2595
2024-04-30,Teclado,Ana,10,1973
2026-04-24,Mouse,Vinícius,1,1762
2026-02-04,Teclado,Patrícia,3,3668
2025-02-03,Mouse,Lucas,5,1891
2026-06-11,Notebook,Amanda,5,4955
2025-08-05,Mouse,Tatiane,3,3085
2026-08-10,Teclado,Vanessa,7,1909
2025-10-29,Monitor,Maria,10,1751
2026-08-31,Mouse,Lucas,7,2139
2026-07-28,Headset,Renata,2,757
2024-05-21,Headset,Beatriz,6,3334
2024-12-24,Mouse,Pedro,3,1690
2024-01-23,Teclado,Rodrigo,2,1841
2024-04-12,Teclado,Felipe,9,2398
2026-07-20,Monitor,Juliana,5,4266
2024-04-10,Mouse,Camila,2,3231
2024-01-14,Headset,João,2,3265
2025-06-18,Mouse,Lucas,1,4206
2026-03-02,Monitor,Maria,7,4427
2026-06-09,Headset,Camila,4,4371
2026-04-11,Monitor,Patrícia,7,3678
2026-08-22,Headset,Maria,2,4291
2025-09-25,Headset,Tatiane,1,916
2025-06-12,Monitor,Ana,2,2953
2025-02-28,Mouse,Ana,9,630
2025-01-30,Headset,Vanessa,5,4948
2025-01-11,Monitor,Tatiane,1,3101
2024-03-11,Monitor,Fernanda,7,882
2024-01-23,Mouse,Carlos,9,3636
2025-12-26,Monitor,João,9,581
2025-08-12,Monitor,Thiago,7,4582
2024-03-30,Mouse,Eduardo,4,3517
2026-11-12,Teclado,Camila,6,2297
2024-09-06,Monitor,Beatriz,6,4778
2025-09-02,Mouse,Mariana,2,4787
2024-05-26,Headset,Fernanda,2,2961
2026-12-29,Monitor,Priscila,7,2007
2026-01-23,Notebook,André,8,4597
2026-12-26,Headset,Eduardo,10,3634
2026-05-01,Headset,Gabriel,2,1840
2026-10-06,Monitor,Maria,2,252
2025-03-23,Teclado,Fernanda,4,271
2026-12-26,Headset,Beatriz,7,3924
2024-09-04,Monitor,Tatiane,9,3194
2026-01-25,Headset,Tatiane,6,2248
2024-04-02,Teclado,André,1,1047
2025-06-08,Teclado,Eduardo,2,596
2024-06-22,Notebook,Vanessa,8,1462
2024-10-05,Mouse,Gabriel,4,2311
2025-11-18,Headset,Larissa,7,4423
2026-08-10,Teclado,Maria,6,2957
2025-08-17,Teclado,João,4,2853
2025-04-26,Headset,Rafael,7,2450
2024-03-28,Monitor,Fernanda,2,1615
2024-08-30,Notebook,Amanda,4,1239
2024-12-20,Monitor,Amanda,8,3705
2026-02-25,Notebook,Ana,5,2598
2025-03-14,Notebook,Priscila,5,4879
2024-03-19,Headset,Felipe,10,2507
2026-06-01,Teclado,Maria,6,3175
2024-12-04,Mouse,Camila,8,259
2026-06-14,Monitor,Camila,8,4488
2026-11-23,Mouse,Amanda,1,1863
2025-03-02,Headset,Vanessa,8,2719
2026-10-22,Notebook,Lucas,3,4170
2025-12-13,Monitor,Mariana,1,3357
2025-04-30,Notebook,Camila,5,503
2024-08-05,Mouse,Marcelo,9,2489
2025-11-17,Notebook,André,9,956
2026-08-04,Notebook,Renata,10,4243
2024-07-03,Monitor,Vinícius,4,3437
2024-09-13,Teclado,André,5,2535
2026-07-24,Headset,Aline,2,3421
2026-02-14,Mouse,Amanda,6,3007
2025-12-10,Mouse,João,1,4737
2024-01-27,Headset,Maria,9,4703
2026-11-10,Notebook,Tatiane,10,3674
2026-08-14,Headset,Eduardo,6,481
2026-12-05,Mouse,Eduardo,1,4287
2026-09-11,Mouse,Renata,2,2382
2025-02-28,Monitor,Rodrigo,10,1785
2025-07-20,Mouse,Vanessa,2,471
2024-07-31,Mouse,Patrícia,2,648
2025-01-15,Notebook,Fernanda,4,1926
2026-05-31,Notebook,Vanessa,1,2975
2026-05-31,Notebook,Marcelo,5,2464
2024-12-28,Headset,Carlos,8,3013
2024-07-08,Headset,Priscila,6,553
2025-05-24,Monitor,Rafael,2,848
2025-07-19,Monitor,Vinícius,10,4822
2026-12-19,Teclado,Thiago,2,1567
2026-08-15,Notebook,Carlos,4,4368
2024-02-17,Teclado,Vinícius,8,1261
2026-01-12,Headset,Mariana,1,4016
2025-07-30,Notebook,Marcelo,4,2504
2024-04-07,Headset,André,10,323
2024-03-28,Notebook,Pedro,10,3021
2025-01-17,Teclado,Pedro,3,913
2026-10-18,Mouse,Camila,2,3491
2025-05-20,Headset,Rodrigo,5,4883
2024-04-28,Teclado,Bruno,1,2773
2024-09-23,Monitor,João,8,1052
2026-01-29,Teclado,Diego,5,4776
2025-01-15,Mouse,Vinícius,7,4267
2025-10-31,Notebook,Diego,4,1375
2024-08-26,Notebook,Maria,10,4924
2025-12-30,Headset,Vinícius,9,503
2025-03-16,Teclado,Fernanda,9,199
2025-01-18,Notebook,Patrícia,2,2122
2026-06-04,Notebook,Maria,9,1240
2025-04-28,Headset,Patrícia,6,1085
2026-11-05,Notebook,João,2,3361
2025-04-26,Notebook,Rafael,10,297
2025-09-19,Notebook,Mariana,9,1695
2024-10-07,Teclado,Renata,3,4061
2024-11-23,Notebook,Beatriz,1,4541
2024-04-21,Monitor,Priscila,2,2124
2026-09-05,Mouse,Beatriz,4,2446
2024-04-03,Notebook,Gabriel,7,1649
2024-05-12,Notebook,Tatiane,2,3094
2025-08-13,Headset,Maria,6,4418
2025-02-18,Headset,Larissa,6,2032
2026-04-03,Headset,Larissa,5,2992
2026-08-17,Headset,Patrícia,6,297
2026-05-24,Notebook,Rodrigo,6,1741
2025-10-25,Notebook,Priscila,10,1136
2025-06-07,Notebook,Pedro,7,412
2024-01-04,Headset,Vanessa,2,198
2025-02-28,Teclado,Aline,1,527
2026-11-11,Notebook,Thiago,2,2102
2024-06-14,Headset,Larissa,9,1275
2024-03-23,Notebook,Larissa,1,1735
2026-04-04,Mouse,Amanda,7,3854
2025-05-18,Teclado,Lucas,5,2752
2024-12-07,Notebook,Rafael,6,3781
2025-02-05,Mouse,Diego,5,1202
2026-09-24,Teclado,Mariana,8,3147
2026-11-01,Notebook,Rodrigo,1,2504
2026-06-19,Monitor,Priscila,9,124
2025-02-10,Mouse,André,4,4376
2026-09-03,Teclado,Renata,5,2212
2024-06-11,Monitor,Tatiane,7,237
2025-11-12,Monitor,Maria,2,2205
2026-07-03,Notebook,Fernanda,5,991
2025-02-11,Headset,Mariana,6,370
2025-12-23,Mouse,Amanda,8,3168
2024-10-23,Mouse,Larissa,1,941
2024-11-05,Teclado,Maria,2,1009
2025-11-20,Headset,Juliana,2,1748
2025-08-06,Mouse,Aline,7,3481
2024-07-04,Mouse,Amanda,5,485
2026-12-23,Notebook,Rafael,10,1080
2025-11-06,Teclado,Gabriel,6,1147
2025-12-25,Notebook,Pedro,3,1129
2026-12-06,Headset,Eduardo,10,1662
2026-03-03,Headset,Vinícius,2,1226
2025-07-19,Headset,Juliana,7,512
2026-12-22,Monitor,Aline,10,4027
2025-04-28,Notebook,Maria,9,523
2024-08-16,Headset,Rodrigo,9,3456
2025-08-19,Teclado,Rodrigo,10,1031
2024-12-30,Teclado,Juliana,2,99
2025-06-10,Monitor,Thiago,2,4093
2026-03-29,Headset,Lucas,7,2191
2024-03-01,Mouse,Pedro,2,4509
2026-03-25,Notebook,Eduardo,1,2625
2026-05-15,Headset,Felipe,3,1852
2026-09-19,Headset,Vinícius,10,293
2026-07-08,Headset,Carlos,1,1797
2025-10-19,Headset,Pedro,2,3392
2026-04-29,Headset,Gabriel,6,3128
2025-12-27,Teclado,Patrícia,6,4648
2026-05-05,Monitor,João,6,2330
2026-08-24,Headset,Felipe,5,1379
2026-02-04,Teclado,Carlos,9,4824
2024-08-25,Notebook,Tatiane,6,2842
2024-02-12,Teclado,Ana,7,2628
2024-03-04,Teclado,Beatriz,4,4080
2026-01-11,Monitor,Rafael,4,3967
2026-09-25,Teclado,Vinícius,6,282
2026-05-07,Monitor,Renata,5,161
2025-05-18,Headset,Felipe,2,4490
2026-11-27,Headset,Fernanda,9,2026
2026-11-24,Headset,Pedro,9,1682
2026-02-12,Notebook,Carlos,2,4649
2024-02-04,Mouse,Maria,7,2599
2026-08-20,Notebook,Juliana,4,946
2024-05-30,Mouse,Lucas,6,748
2025-03-08,Notebook,João,5,3583
2026-09-03,Monitor,Carlos,4,3024
2026-02-03,Teclado,João,10,3685
2025-04-07,Mouse,Amanda,6,1464
2026-01-20,Teclado,Camila,5,3827
2024-12-10,Headset,Amanda,5,717
2026-09-14,Teclado,Priscila,9,1517
2026-09-27,Teclado,Renata,9,201
2025-12-13,Monitor,Mariana,7,2130
2024-02-03,Teclado,Ana,10,3542
2024-11-19,Monitor,Priscila,9,2525
2025-12-10,Monitor,Lucas,4,4077
2025-07-18,Monitor,Eduardo,1,1079
2026-03-20,Notebook,Fernanda,4,1008
2025-02-08,Headset,Vanessa,7,1288
2025-10-18,Teclado,Fernanda,10,3757
2024-04-15,Headset,Marcelo,9,4456
2025-08-02,Monitor,Gabriel,6,117
2026-02-15,Teclado,Felipe,2,2678
2024-05-30,Monitor,Patrícia,6,3390
2025-10-04,Monitor,Diego,6,2006
2026-04-26,Notebook,Gabriel,8,4182
2024-12-27,Mouse,Pedro,9,951
2025-05-24,Teclado,Fernanda,10,1097
2024-09-22,Headset,Diego,8,4629
2024-07-13,Notebook,Priscila,6,344
2025-06-20,Monitor,Felipe,4,3707
2026-04-02,Mouse,Marcelo,2,3434
2026-04-08,Headset,Lucas,7,2165
2025-12-13,Mouse,Juliana,10,3096
2025-03-06,Monitor,Diego,8,4517
2026-10-22,Teclado,Tatiane,5,1451
2024-04-03,Headset,Pedro,4,2385
2024-09-04,Headset,André,4,2069
2025-07-08,Notebook,Renata,7,761
2025-03-26,Mouse,Maria,6,3422
2026-12-19,Teclado,Amanda,2,4466
2025-08-17,Teclado,Ana,2,1989
2024-10-01,Headset,André,4,259
2026-06-11,Headset,Vanessa,10,3936
2025-12-04,Monitor,Eduardo,9,4557
2024-07-15,Monitor,Rafael,9,1893
2025-02-19,Headset,Thiago,5,1201
2024-07-25,Mouse,Beatriz,1,3487
2024-04-01,Monitor,Gabriel,6,1326
2025-11-20,Teclado,Patrícia,8,1878
2026-09-10,Monitor,Bruno,8,1882
2025-12-13,Teclado,Marcelo,8,4052
2026-12-14,Headset,Rodrigo,8,2631
2025-05-19,Teclado,Patrícia,1,1206
2026-11-14,Teclado,Thiago,1,1893
2026-06-11,Notebook,Bruno,3,1149
2025-09-29,Notebook,Carlos,2,3518
2024-11-11,Monitor,Juliana,4,3905
2025-05-31,Mouse,Felipe,5,1021
2025-05-07,Teclado,Tatiane,7,1241
2024-01-23,Monitor,André,7,222
2026-10-21,Headset,Larissa,1,2219
2024-05-16,Teclado,Ana,1,2608
2025-07-01,Mouse,Pedro,5,1437
2024-01-20,Mouse,Patrícia,8,3113
2024-06-29,Monitor,Patrícia,8,2078
2024-01-27,Mouse,Rafael,4,1052
2024-12-16,Notebook,Rafael,2,4817
2024-08-28,Monitor,Juliana,2,3935
2025-04-08,Teclado,João,1,417
2024-11-08,Notebook,Felipe,7,4985
2025-04-11,Mouse,Mariana,9,886
2025-07-23,Notebook,Juliana,7,2649
2024-07-20,Mouse,João,1,804
2026-05-30,Monitor,Larissa,4,2910
2024-05-02,Monitor,Thiago,8,1367
2026-10-20,Headset,Fernanda,1,4132
2024-10-08,Notebook,Rafael,6,2537
2025-01-14,Notebook,Aline,7,2754
2026-01-08,Headset,João,1,3695
2026-06-06,Headset,Gabriel,8,1872
2026-06-22,Teclado,Lucas,2,4290
2026-09-25,Notebook,Marcelo,4,2283
2026-05-10,Notebook,Priscila,6,1259
2026-08-10,Notebook,Pedro,1,3012
2024-05-12,Mouse,Diego,10,4997
2025-11-13,Mouse,Vinícius,9,4128
2024-10-04,Notebook,Vinícius,9,4133
2025-04-18,Mouse,João,8,1257
2024-03-28,Notebook,Felipe,10,3197
2025-05-02,Teclado,Gabriel,10,1985
2025-02-12,Notebook,Tatiane,5,4901
2024-09-21,Monitor,Gabriel,10,1286
2024-01-11,Notebook,Eduardo,5,2288
2024-03-08,Monitor,Maria,1,3715
2025-01-06,Mouse,Juliana,10,1366
2024-09-19,Mouse,Mariana,1,1975
2024-04-17,Headset,Fernanda,3,1744
2025-06-08,Mouse,Gabriel,4,3570
2026-10-10,Notebook,Fernanda,3,2842
2026-03-16,Notebook,Aline,7,1080
2024-12-13,Monitor,Amanda,8,1309
2024-05-12,Mouse,Marcelo,6,4766
2026-10-09,Mouse,Mariana,8,2873
2024-04-18,Monitor,Carlos,2,1766
2026-01-09,Notebook,Thiago,2,4064
2026-01-20,Mouse,Patrícia,1,3368
2025-05-21,Notebook,Vanessa,4,905
2024-04-06,Monitor,Maria,6,4127
2025-07-25,Headset,Aline,1,1011
2024-03-02,Teclado,Larissa,4,3694
2025-03-16,Mouse,Priscila,5,1643
2026-03-15,Mouse,Marcelo,7,1954
2025-07-19,Teclado,Eduardo,4,4127
2024-08-13,Monitor,Rafael,9,3356
2025-08-07,Headset,Camila,10,2647
2024-12-28,Teclado,Priscila,5,2876
2024-06-16,Mouse,Camila,4,2734
2024-11-09,Headset,Pedro,8,3529
2026-02-16,Notebook,Carlos,7,3640
2025-12-10,Monitor,Patrícia,6,337
2026-07-12,Mouse,Ana,9,4605
2026-09-29,Monitor,Camila,8,4833
2025-09-30,Teclado,Vanessa,8,2912
2026-07-27,Notebook,André,5,3423
2025-11-14,Mouse,Gabriel,6,2386
2026-10-18,Teclado,Ana,9,3527
2025-10-17,Teclado,Vanessa,3,4993
2025-03-11,Headset,Diego,5,2674
2024-01-15,Notebook,Patrícia,10,1800
2024-02-29,Notebook,Renata,5,955
2025-06-25,Headset,Vinícius,10,2637
2025-07-30,Monitor,Maria,4,4948
2024-02-15,Mouse,Gabriel,9,4006
2026-12-25,Headset,Felipe,6,2804
2025-10-11,Teclado,Tatiane,10,3083
2024-10-17,Mouse,Patrícia,4,4882
2026-07-13,Notebook,André,7,1944
2025-12-14,Mouse,Juliana,9,3102
2025-04-02,Teclado,Rafael,5,839
2025-09-21,Headset,André,2,4657
2025-02-02,Monitor,Felipe,3,3927
2025-02-15,Monitor,Felipe,1,4806
2025-10-24,Teclado,Mariana,7,838
2025-08-04,Teclado,Felipe,4,4711
2024-11-11,Mouse,Rafael,6,3785
2024-10-06,Mouse,Camila,4,3482
2025-01-13,Headset,Vinícius,3,4595
2025-03-09,Headset,Beatriz,7,3136
2024-10-16,Notebook,Gabriel,4,4111
2026-05-28,Teclado,Thiago,3,2756
2024-08-19,Monitor,Marcelo,9,337
2026-04-18,Mouse,Marcelo,5,1009
2025-04-15,Monitor,Ana,2,4670
2024-05-05,Monitor,Ana,3,4016
2026-12-03,Teclado,Aline,8,1075
2026-03-15,Monitor,Camila,6,223
2026-08-17,Notebook,Aline,8,3900
2024-03-12,Monitor,Bruno,2,2795
2025-02-03,Headset,Carlos,8,4408
2025-12-17,Mouse,Pedro,3,3750
2024-06-06,Notebook,Lucas,9,876
2024-05-16,Teclado,Aline,10,2824
2025-03-15,Mouse,Aline,3,688
2025-05-09,Teclado,Lucas,2,4111
2025-11-24,Monitor,Lucas,6,657
2026-12-11,Headset,Felipe,7,4896
2026-08-03,Notebook,Felipe,3,2604
2026-07-15,Mouse,Pedro,3,3747
2024-12-31,Notebook,Fernanda,10,3915
2025-01-28,Headset,Renata,2,3603
2025-01-07,Notebook,Vinícius,3,3156
2024-05-11,Headset,Lucas,6,2304
2024-08-08,Headset,Lucas,10,3786
2024-10-11,Headset,Camila,4,1397
2024-05-04,Notebook,Juliana,10,1419
2025-08-23,Monitor,Diego,5,4458
2024-01-01,Notebook,Mariana,1,2395
2026-11-19,Mouse,Carlos,10,828
2026-12-26,Notebook,Marcelo,7,66
2024-01-11,Monitor,André,8,628
2026-01-17,Teclado,João,10,3619
2025-06-22,Notebook,Vinícius,3,3580
2024-12-26,Notebook,Aline,7,778
2024-09-04,Teclado,Camila,2,4888
2026-05-07,Mouse,Fernanda,9,607
2025-11-01,Headset,Bruno,5,4795
2025-01-01,Teclado,Vanessa,4,2634
2026-02-12,Notebook,Fernanda,6,1812
2025-03-11,Headset,Carlos,4,1794
2026-12-05,Mouse,Eduardo,2,4090
2025-08-20,Headset,Mariana,1,1131
2026-07-28,Teclado,André,7,1885
2026-02-20,Notebook,Gabriel,2,4598
2025-09-19,Notebook,Mariana,10,1012
2025-03-13,Headset,Priscila,1,1655
2025-02-25,Notebook,Maria,10,4316
2025-08-23,Headset,Lucas,3,3737
2025-11-05,Mouse,Rafael,1,1122
2024-06-14,Headset,Aline,4,1413
2025-09-28,Headset,Mariana,8,2803
2026-04-26,Teclado,Patrícia,2,4874
2026-05-14,Mouse,Camila,10,3287
2025-01-19,Teclado,Felipe,3,4698
2026-09-03,Monitor,Maria,9,1934
2025-01-20,Teclado,Priscila,3,2576
2026-03-08,Monitor,Patrícia,6,2539
2026-09-24,Notebook,André,5,4268
2025-07-25,Teclado,Eduardo,1,2456
2026-06-04,Teclado,Marcelo,6,2309
2025-10-20,Notebook,Vanessa,4,4831
2026-02-19,Notebook,Renata,5,1091
2026-08-02,Monitor,João,9,4370
2024-05-23,Monitor,Camila,10,4790
2025-07-17,Mouse,Priscila,9,4558
2024-04-01,Monitor,Marcelo,9,4424
2025-10-27,Notebook,Vinícius,6,2261
2024-12-19,Monitor,Gabriel,6,475
2026-09-06,Mouse,Bruno,10,1855
2025-09-05,Monitor,Maria,2,816
2025-06-20,Notebook,Amanda,8,4581
2025-11-12,Monitor,Eduardo,6,4665
2026-11-22,Headset,Bruno,7,1892
2024-08-25,Headset,Eduardo,1,2208
2025-08-26,Notebook,Ana,4,3944
2026-03-05,Headset,Felipe,3,4689
2025-03-14,Mouse,Camila,4,1721
2025-07-10,Teclado,Bruno,8,4170
2024-02-07,Teclado,Lucas,6,238
2026-09-19,Mouse,Eduardo,10,80
2026-02-22,Monitor,Eduardo,8,3353
2024-09-28,Headset,Pedro,7,1883
2026-03-18,Monitor,Felipe,9,1886
2025-04-03,Monitor,Pedro,9,4959
2026-06-15,Headset,Marcelo,6,2966
2026-10-03,Monitor,João,3,1678
2025-05-01,Mouse,Diego,1,3021
2024-04-14,Headset,Fernanda,10,4221
2024-02-03,Notebook,Marcelo,6,1866
2025-03-15,Mouse,Mariana,4,1303
2025-10-15,Monitor,Marcelo,9,2631
2026-03-30,Mouse,Vanessa,6,221
2024-05-30,Mouse,Rafael,8,824
2025-07-15,Headset,Eduardo,8,76
2024-02-19,Monitor,Thiago,7,4259
2025-02-03,Monitor,Renata,7,2679
2024-11-15,Monitor,Mariana,3,209
2025-09-18,Monitor,Maria,3,3604
2026-12-26,Mouse,Bruno,2,1496
2024-08-28,Notebook,Pedro,9,563
2025-02-03,Notebook,Amanda,3,2073
2024-03-19,Notebook,Vanessa,8,556
2025-12-31,Mouse,Rafael,8,4011
2026-06-26,Notebook,Vanessa,9,1964
2026-02-09,Mouse,Rafael,3,155
2025-08-29,Notebook,Aline,5,1857
2024-12-27,Notebook,Priscila,1,4135
2026-12-09,Headset,Amanda,6,328
2026-06-18,Mouse,Ana,4,2870
2026-02-04,Monitor,Mariana,7,4305
2026-09-29,Headset,Gabriel,6,4750
2025-01-06,Monitor,Ana,5,4350
2025-11-17,Monitor,Tatiane,8,1576
2026-03-04,Headset,Felipe,3,4307
2024-01-18,Headset,Diego,1,549
2025-11-24,Monitor,Aline,6,3945
2024-08-06,Notebook,João,10,685
2025-07-21,Notebook,Fernanda,4,4781
2026-10-20,Teclado,Eduardo,3,3904
2024-09-25,Teclado,Rodrigo,3,2440
2026-10-04,Notebook,Lucas,5,1782
2024-02-25,Teclado,Lucas,3,3334
2024-09-06,Mouse,Marcelo,4,1455
2024-09-12,Teclado,Gabriel,4,4118
2026-04-08,Mouse,Ana,2,806
2026-08-12,Headset,Priscila,5,1888
2025-02-14,Headset,Fernanda,3,2459
2025-10-21,Notebook,Juliana,5,142
2024-04-30,Notebook,Bruno,2,73
2026-11-20,Monitor,Amanda,9,832
2026-01-29,Monitor,Vanessa,10,4359
2025-10-20,Notebook,Vinícius,7,3766
2025-10-13,Teclado,Juliana,1,2747
2026-07-15,Teclado,Felipe,5,666
2026-11-25,Headset,Lucas,10,3596
2025-06-30,Teclado,Vinícius,4,1036
2026-03-14,Notebook,Juliana,7,2610
2024-10-06,Notebook,Vanessa,10,1598
2025-06-10,Headset,Aline,5,1722
2025-08-20,Notebook,João,10,4000
2024-06-02,Monitor,Mariana,9,3815
2025-09-10,Headset,Vinícius,8,297
2025-06-05,Teclado,André,1,3220
2024-12-13,Notebook,João,5,1297
2026-07-21,Notebook,Renata,1,2111
2025-07-10,Headset,Pedro,10,4360
2026-03-06,Notebook,Vanessa,6,3319
2025-11-15,Headset,Lucas,2,3854
2024-05-30,Notebook,Juliana,5,2782
2024-09-11,Teclado,Amanda,8,3329
2026-06-22,Monitor,Rafael,9,2003
2024-10-28,Notebook,Renata,7,745
2024-12-04,Notebook,Vinícius,2,291
2024-04-15,Notebook,Priscila,5,4943
2024-05-21,Monitor,Mariana,5,3347
2025-02-09,Headset,Bruno,7,1725
2025-01-17,Headset,Maria,6,2847
2026-07-31,Notebook,Marcelo,2,1418
2025-04-13,Monitor,Priscila,9,1188
2024-06-15,Notebook,Carlos,3,313
2025-01-05,Notebook,Maria,5,1120
2024-09-18,Teclado,Larissa,10,1014
2025-02-25,Mouse,Camila,10,2445
2025-02-01,Headset,Rodrigo,3,356
2025-07-10,Monitor,Eduardo,1,294
2026-06-02,Monitor,Gabriel,3,54
2026-05-16,Monitor,Carlos,7,2212
2026-01-14,Teclado,Rodrigo,10,2407
2026-08-23,Headset,André,9,2075
2025-04-06,Teclado,Renata,8,812
2025-06-06,Notebook,Beatriz,9,1539
